Indicator,Group,State,lat,long,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range
"Delayed Medical Care, Last 4 Weeks",National Estimate,United States,,,United States,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,38.7,38.1,39.4,38.1 - 39.4,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,,,18 - 29 years,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,34.8,32.5,37.2,32.5 - 37.2,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,,,30 - 39 years,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,37.3,35.6,39,35.6 - 39.0,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,,,40 - 49 years,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,40.3,39,41.7,39.0 - 41.7,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,,,50 - 59 years,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,40.7,39.3,42.2,39.3 - 42.2,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,,,60 - 69 years,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,42.1,40.6,43.7,40.6 - 43.7,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,,,70 - 79 years,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,38.1,36.3,39.9,36.3 - 39.9,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,,,80 years and above,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,31.1,26.9,35.7,26.9 - 35.7,
"Delayed Medical Care, Last 4 Weeks",By Sex,United States,,,Male,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,35.3,34.1,36.5,34.1 - 36.5,
"Delayed Medical Care, Last 4 Weeks",By Sex,United States,,,Female,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,42.1,41.2,43,41.2 - 43.0,
"Delayed Medical Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,,,Hispanic or Latino,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,35,32.7,37.4,32.7 - 37.4,
"Delayed Medical Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,,,"Non-Hispanic White, single race",1,1,Apr 23 - May 5,04/23/2020,05/05/2020,40.3,39.7,40.9,39.7 - 40.9,
"Delayed Medical Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,,,"Non-Hispanic Black, single race",1,1,Apr 23 - May 5,04/23/2020,05/05/2020,36.7,34.5,38.9,34.5 - 38.9,
"Delayed Medical Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,,,"Non-Hispanic Asian, single race",1,1,Apr 23 - May 5,04/23/2020,05/05/2020,33.5,30.4,36.7,30.4 - 36.7,
"Delayed Medical Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,,,"Non-Hispanic, other races and multiple races",1,1,Apr 23 - May 5,04/23/2020,05/05/2020,41.7,38.5,45,38.5 - 45.0,
"Delayed Medical Care, Last 4 Weeks",By Education,United States,,,Less than a high school diploma,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,34.1,29,39.6,29.0 - 39.6,
"Delayed Medical Care, Last 4 Weeks",By Education,United States,,,High school diploma or GED,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,34.2,32.9,35.5,32.9 - 35.5,
"Delayed Medical Care, Last 4 Weeks",By Education,United States,,,Some college/Associate's degree,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,39.9,38.7,41.1,38.7 - 41.1,
"Delayed Medical Care, Last 4 Weeks",By Education,United States,,,Bachelor's degree or higher,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,43.2,42.3,44.1,42.3 - 44.1,
"Delayed Medical Care, Last 4 Weeks",By State,Alabama,32.806671,-86.79113,Alabama,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,37.6,32.4,43.1,32.4 - 43.1,36.5 - 38.7
"Delayed Medical Care, Last 4 Weeks",By State,Alaska,61.370716,-152.404419,Alaska,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,42.6,38.5,46.9,38.5 - 46.9,41.0 - 44.9
"Delayed Medical Care, Last 4 Weeks",By State,Arizona,33.729759,-111.431221,Arizona,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,36.5,33.5,39.5,33.5 - 39.5,36.5 - 38.7
"Delayed Medical Care, Last 4 Weeks",By State,Arkansas,34.969704,-92.373123,Arkansas,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,41.3,35.4,47.5,35.4 - 47.5,41.0 - 44.9
"Delayed Medical Care, Last 4 Weeks",By State,California,36.116203,-119.681564,California,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,39.5,36.3,42.7,36.3 - 42.7,38.8 - 40.9
"Delayed Medical Care, Last 4 Weeks",By State,Colorado,39.059811,-105.311104,Colorado,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,42.2,38.9,45.5,38.9 - 45.5,41.0 - 44.9
"Delayed Medical Care, Last 4 Weeks",By State,Connecticut,41.597782,-72.755371,Connecticut,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,36.2,31.8,40.7,31.8 - 40.7,30.4 - 36.4
"Delayed Medical Care, Last 4 Weeks",By State,Delaware,39.318523,-75.507141,Delaware,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,35.7,30.9,40.8,30.9 - 40.8,30.4 - 36.4
"Delayed Medical Care, Last 4 Weeks",By State,District of Columbia,38.897438,-77.026817,District of Columbia,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,42.7,37.9,47.7,37.9 - 47.7,41.0 - 44.9
"Delayed Medical Care, Last 4 Weeks",By State,Florida,27.766279,-81.686783,Florida,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,41.3,38.2,44.5,38.2 - 44.5,41.0 - 44.9
"Delayed Medical Care, Last 4 Weeks",By State,Georgia,33.040619,-83.643074,Georgia,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,40.2,36.9,43.6,36.9 - 43.6,38.8 - 40.9
"Delayed Medical Care, Last 4 Weeks",By State,Hawaii,21.094318,-157.498337,Hawaii,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,34.7,29.5,40.1,29.5 - 40.1,30.4 - 36.4
"Delayed Medical Care, Last 4 Weeks",By State,Idaho,44.240459,-114.478828,Idaho,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,33.4,30.3,36.7,30.3 - 36.7,30.4 - 36.4
"Delayed Medical Care, Last 4 Weeks",By State,Illinois,40.349457,-88.986137,Illinois,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,37.2,34.2,40.3,34.2 - 40.3,36.5 - 38.7
"Delayed Medical Care, Last 4 Weeks",By State,Indiana,39.849426,-86.258278,Indiana,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,34.2,30.2,38.5,30.2 - 38.5,30.4 - 36.4
"Delayed Medical Care, Last 4 Weeks",By State,Iowa,42.011539,-93.210526,Iowa,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,35.1,29.9,40.5,29.9 - 40.5,30.4 - 36.4
"Delayed Medical Care, Last 4 Weeks",By State,Kansas,38.5266,-96.726486,Kansas,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,35.3,30.4,40.5,30.4 - 40.5,30.4 - 36.4
"Delayed Medical Care, Last 4 Weeks",By State,Kentucky,37.66814,-84.670067,Kentucky,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,38.5,33.4,43.7,33.4 - 43.7,36.5 - 38.7
"Delayed Medical Care, Last 4 Weeks",By State,Louisiana,31.169546,-91.867805,Louisiana,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,38.1,33.8,42.6,33.8 - 42.6,36.5 - 38.7
"Delayed Medical Care, Last 4 Weeks",By State,Maine,44.693947,-69.381927,Maine,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,41.1,37.2,45.1,37.2 - 45.1,41.0 - 44.9
"Delayed Medical Care, Last 4 Weeks",By State,Maryland,39.063946,-76.802101,Maryland,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,44.9,40.5,49.3,40.5 - 49.3,41.0 - 44.9
"Delayed Medical Care, Last 4 Weeks",By State,Massachusetts,42.230171,-71.530106,Massachusetts,1,1,Apr 23 - May 5,04/23/2020,05/05/2020,38.7,35.4,42.2,35.4 - 42.2,36.5 - 38.7
