Group,Subgroup,Week,Time Period Label,Time Period Start Date,Time Period End Date,Value
age,18 - 29 years,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,40.8
age,30 - 39 years,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,41.8
age,40 - 49 years,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,45.6
age,50 - 59 years,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,46
age,60 - 69 years,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,46.4
age,70 - 79 years,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,42.2
age,80 years and above,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,35.6
gender,Male,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,40.1
gender,Female,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,47.1
race,Hispanic or Latino,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,41.3
race,"Non-Hispanic White, single race",1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,44.6
race,"Non-Hispanic Black, single race",1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,42.5
race,"Non-Hispanic Asian, single race",1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,37.8
race,"Non-Hispanic, other races and multiple races",1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,49.2
education,Less than a high school diploma,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,40.9
education,High school diploma or GED,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,39.4
education,Some college/Associates degree,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,44.7
education,Bachelor degree or higher,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,47.6
age,18 - 29 years,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,39.8
age,30 - 39 years,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,45.1
age,40 - 49 years,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,47.6
age,50 - 59 years,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,47.2
age,60 - 69 years,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,45.2
age,70 - 79 years,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,41.2
age,80 years and above,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,37.9
gender,Male,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,39.5
gender,Female,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,49.2
race,Hispanic or Latino,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,44.5
race,"Non-Hispanic White, single race",6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,44.5
race,"Non-Hispanic Black, single race",6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,43.8
race,"Non-Hispanic Asian, single race",6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,37.2
race,"Non-Hispanic, other races and multiple races",6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,54.6
education,Less than a high school diploma,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,40.8
education,High school diploma or GED,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,40.2
education,Some college/Associates degree,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,47.5
education,Bachelor degree or higher,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,46.5
age,18 - 29 years,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,38.7
age,30 - 39 years,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,40.9
age,40 - 49 years,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,42.3
age,50 - 59 years,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,42.4
age,60 - 69 years,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,36.7
age,70 - 79 years,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,33.6
age,80 years and above,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,25.4
gender,Male,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,35.1
